numero,link,tribunal,tipo_participacao,nome_parte
1003111-48.2024.8.26.0514,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=EA0003KYA0000&processo.foro=514&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Femsa
1000904-05.2025.8.26.0300,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=8C00036T50000&processo.foro=300&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Insdústrias Ltda
1015637-56.2019.8.26.0309,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=8L000AN7T0000&processo.foro=309&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,TerIntCer,AMCOR RIGID PLASTICS DO BRASIL LTDA. (COCA-COLA)
1000685-63.2019.8.26.0312,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=8O0000ACW0000&processo.foro=312&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Femsa Industrias Ltda
1018326-94.2021.8.26.0344,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=9K000K25K0000&processo.foro=344&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca-cola Brasil
1004450-55.2024.8.26.0348,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=9O000AME30000&processo.foro=348&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca-Cola Industrias Ltda.
1000255-20.2021.8.26.0352,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=9S0000R7M0000&processo.foro=352&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Indústrias Ltda
1006146-87.2024.8.26.0361,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=A1000IOCD0000&processo.foro=361&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Industrias Ltda
0012666-79.2023.8.26.0405,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=B9000ISF80000&processo.foro=405&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,SPAL INDUSTRIA BRASILEIRA DE BEBIDAS S/A- COCA COLA FEMSA
1000473-54.2020.8.26.0426,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=BU0000K830000&processo.foro=426&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Femsa Industrias Ltda
0001166-98.2024.8.26.0431,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=BZ00029G20000&processo.foro=431&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Femsa
3000316-46.2013.8.26.0441,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=C900000BY0000&processo.foro=441&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca-Cola do Brasil FEMSA
0004295-19.2003.8.26.0441,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=C9Y0303BB0000&processo.foro=441&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Réu,Carlos Roberto de Barros ( Vulgo beto coca cola )
1000601-57.2024.8.26.0451,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000UGIL0000&processo.foro=451&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Industria Ltda
1020064-19.2023.8.26.0451,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000U61G0000&processo.foro=451&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Femsa
